Card,Number,Average Rating,Rating Stdev
Ram Through,8,2.4625,0.6872726896945637
Dreamtail Heron,8,2.225,0.6359048670988452
Fire Prophecy,7,2.1285714285714286,0.8189091798838009
Migratory Greathorn,7,1.7142857142857142,0.880630571852711
Vulpikeet,6,2.4,0.3415650255319866
Ferocious Tigorilla,5,1.6,0.7348469228349535
Pyroceratops,5,1.8199999999999998,0.8304215796810678
Lava Serpent,5,1.92,0.6523802572120037
Cavern Whisperer,5,2.0,0.31622776601683794
Forbidden Friendship,5,2.5,0.4472135954999579
Survivors' Bond,4,1.175,0.20463381929681124
Spelleater Wolverine,4,1.65,0.4092676385936225
Excavation Mole,3,1.8666666666666665,0.5185449728701349
Bushmeat Poacher,3,2.0,0.0
Gust of Wind,3,2.1666666666666665,0.24944382578492946
Nightsquad Commando,2,2.0,0.0
Blisterspit Gremlin,2,1.4,0.4
Suffocating Fumes,2,1.5,0.0
Wilt,2,2.0,1.0
Light of Hope,2,1.7,0.7
Heightened Reflexes,2,1.75,0.6499999999999999
Farfinder,2,1.5,0.5
Daysquad Marshal,2,1.3,0.19999999999999996
Phase Dolphin,2,1.6,0.6000000000000001
Boot Nipper,2,1.5,0.5
Keep Safe,2,1.75,0.75
Cloudpiercer,2,1.35,0.35
Spontaneous Flight,2,1.9,0.09999999999999998
Fully Grown,2,2.0,0.0
Garrison Cat,1,1.3,0.0
Serrated Scorpion,1,1.9,0.0
Unexpected Fangs,1,1.5,0.0
Of One Mind,1,2.7,0.0
Thwart the Enemy,1,1.0,0.0
Raking Claws,1,1.0,0.0
Lurking Deadeye,1,1.0,0.0
Blitz Leech,1,1.5,0.0
Sleeper Dart,1,1.7,0.0
Go for Blood,1,2.5,0.0
Mutual Destruction,1,1.0,0.0
Shredded Sails,1,3.0,0.0
Almighty Brushwagg,1,2.4,0.0
Blood Curdle,1,1.5,0.0
Sudden Spinnerets,1,2.0,0.0
